product_id,product_name,brand,price_inr,discounted_price_inr,discount_percent,material,color,seater_type,dimensions_cm,weight_kg,rating,num_reviews,style_category,cushion_type,leg_material,assembly_required,warranty_years,in_stock
P001,Frejol Velvet 2 Seater Sofa In Cream Colour,Pepperfry,29999,29999,N/A,Here’s a Guide to Buying the Perfect Sofas->,,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,5,N/A,Modern,Foam,Wood,Yes,,Yes
P002,Bari Leatherette 2 Seater Sofa In Dark Brown Colour,Pepperfry,27999,27999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Casacraft From Pepperfry,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P003,Andres Chenille Fabric 2 Seater Sofa In Navy Blue Colour,Pepperfry,35999,35999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Decor Chronicle,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P004,Lem Velvet 2 Seater Sofa in Teal Blue Colour,Pepperfry,32999,32999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Extra 15% Off on All Home and Kitchen Orders*,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,3,N/A,Modern,Foam,Wood,Yes,,Yes
P005,Tochi Fabric 2 Seater Sofa In Grey Colour,Pepperfry,24499,24499,N/A,Here’s a Guide to Buying the Perfect Sofas->,Sleep Craft,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P006,Frejol Velvet 2 Seater Sofa In Cream Colour,Pepperfry,29999,29999,N/A,Here’s a Guide to Buying the Perfect Sofas->,,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,5,N/A,Modern,Foam,Wood,Yes,,Yes
P007,Jessy Fabric 2 Seater Sofa In Lit Grey Color,Pepperfry,23999,23999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Extra 15% Off on All Home and Kitchen Orders*,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P008,Bari Leatherette 2 Seater Sofa In Dark Brown Colour,Pepperfry,27999,27999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Casacraft From Pepperfry,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P009,Alejandro Velvet 2 Seater Sofa In Carbon Grey Colour,Pepperfry,22999,22999,N/A,Here’s a Guide to Buying the Perfect Sofas->,,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P010,Jessy Fabric 2 Seater Sofa In Ivory Cream Color,Pepperfry,23999,23999,N/A,Here’s a Guide to Buying the Perfect Sofas->,"Sign Up & Get Upto Rs. 1,500 off on Your First Purchase!",2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,3,N/A,Modern,Foam,Wood,Yes,,Yes
