product_id,product_name,brand,price_inr,discounted_price_inr,discount_percent,material,color,seater_type,dimensions_cm,weight_kg,rating,num_reviews,style_category,cushion_type,leg_material,assembly_required,warranty_years,in_stock
P001,Bari Leatherette 2 Seater Sofa In Dark Brown Colour,Pepperfry,27999,27999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Casacraft From Pepperfry,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P002,Frejol Velvet 2 Seater Sofa In Cream Colour,Pepperfry,29999,29999,N/A,Here’s a Guide to Buying the Perfect Sofas->,,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,5,N/A,Modern,Foam,Wood,Yes,,Yes
P003,Lem Velvet 2 Seater Sofa in Teal Blue Colour,Pepperfry,32999,32999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Extra 15% Off on All Home and Kitchen Orders*,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,3,N/A,Modern,Foam,Wood,Yes,,Yes
P004,Andres Chenille Fabric 2 Seater Sofa In Navy Blue Colour,Pepperfry,35999,35999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Decor Chronicle,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P005,Bari Leatherette 2 Seater Sofa In Dark Brown Colour,Pepperfry,27999,27999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Casacraft From Pepperfry,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P006,Frejol Velvet 2 Seater Sofa In Cream Colour,Pepperfry,29999,29999,N/A,Here’s a Guide to Buying the Perfect Sofas->,,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,5,N/A,Modern,Foam,Wood,Yes,,Yes
P007,Lem Velvet 2 Seater Sofa in Teal Blue Colour,Pepperfry,32999,32999,N/A,Here’s a Guide to Buying the Perfect Sofas->,"Sign Up & Get Upto Rs. 1,500 off on Your First Purchase!",2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,3,N/A,Modern,Foam,Wood,Yes,,Yes
P008,Andres Chenille Fabric 2 Seater Sofa In Navy Blue Colour,Pepperfry,35999,35999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Decor Chronicle,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P009,Bari Leatherette 2 Seater Sofa In Dark Brown Colour,Pepperfry,27999,27999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Casacraft From Pepperfry,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P010,Frejol Velvet 2 Seater Sofa In Cream Colour,Pepperfry,29999,29999,N/A,Here’s a Guide to Buying the Perfect Sofas->,,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,5,N/A,Modern,Foam,Wood,Yes,,Yes
P011,Lem Velvet 2 Seater Sofa in Teal Blue Colour,Pepperfry,32999,32999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Extra 15% Off on All Home and Kitchen Orders*,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,3,N/A,Modern,Foam,Wood,Yes,,Yes
P012,Andres Chenille Fabric 2 Seater Sofa In Navy Blue Colour,Pepperfry,35999,35999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Decor Chronicle,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P013,Bari Leatherette 2 Seater Sofa In Dark Brown Colour,Pepperfry,27999,27999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Casacraft From Pepperfry,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P014,Frejol Velvet 2 Seater Sofa In Cream Colour,Pepperfry,29999,29999,N/A,Here’s a Guide to Buying the Perfect Sofas->,,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,5,N/A,Modern,Foam,Wood,Yes,,Yes
P015,Lem Velvet 2 Seater Sofa in Teal Blue Colour,Pepperfry,32999,32999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Extra 15% Off on All Home and Kitchen Orders*,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,3,N/A,Modern,Foam,Wood,Yes,,Yes
P016,Andres Chenille Fabric 2 Seater Sofa In Navy Blue Colour,Pepperfry,35999,35999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Decor Chronicle,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P017,Bari Leatherette 2 Seater Sofa In Dark Brown Colour,Pepperfry,27999,27999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Casacraft From Pepperfry,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P018,Frejol Velvet 2 Seater Sofa In Cream Colour,Pepperfry,29999,29999,N/A,Here’s a Guide to Buying the Perfect Sofas->,,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,5,N/A,Modern,Foam,Wood,Yes,,Yes
P019,Lem Velvet 2 Seater Sofa in Teal Blue Colour,Pepperfry,32999,32999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Extra 15% Off on All Home and Kitchen Orders*,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,3,N/A,Modern,Foam,Wood,Yes,,Yes
P020,Andres Chenille Fabric 2 Seater Sofa In Navy Blue Colour,Pepperfry,35999,35999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Decor Chronicle,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
P021,Bari Leatherette 2 Seater Sofa In Dark Brown Colour,Pepperfry,27999,27999,N/A,Here’s a Guide to Buying the Perfect Sofas->,Casacraft From Pepperfry,2 Seater,Here’s a Guide to Buying the Perfect Sofas->,Here’s a Guide to Buying the Perfect Sofas->,4.5,N/A,Modern,Foam,Wood,Yes,,Yes
